id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
834053303,Кольцо овальное карабина палочки художественной гимнастики,MIDA GYM,гимнастические кольца,5,16,4.9,1299.0,404.0
291280888,Кольца гимнастические,,гимнастические кольца,5,3,4.7,1535.0,956.0
539057077,"Комплект спортивных снарядов кольца, трапеция, лестница",,гимнастические кольца,5,21,4.9,4900.0,2080.0
116677732,Кольца гимнастические деревянные с канатами,КидсGO,гимнастические кольца,5,582,4.9,2200.0,1151.0
200365240,Кольцо для пилатеса и фитнеса изотоническое,Sportex,гимнастические кольца,5,288,4.8,1672.0,731.0
998568827,Гимнастические кольца для фитнеса,,гимнастические кольца,3,4,4.2,2166.0,997.0
261672766,"Стропы для гимнастических колец, 40 мм",ONHILLSPORT,гимнастические кольца,5,24,4.9,5100.0,1829.0
175982158,Кольца гимнастические 38 мм (без строп),Мир спорта 365,гимнастические кольца,5,34,4.9,6200.0,2224.0
233084541,Кольца гимнастические деревянные кроссфит со стропами,Hawk,гимнастические кольца,5,1,4.4,3555.0,1879.0
260220928,Гимнастические кольца,Do hobby & Be happy,гимнастические кольца,0,0,4.9,4320.0,1989.0
211832693,Кольцо гимнастическое пластик,InterSport,гимнастические кольца,5,1,4.7,12000.0,1744.0
30071372,Кольца соединительные для палочки гимнастической,INES,гимнастические кольца,5,57,4.8,289.0,127.0
218853794,Кольца гимнастические 30 мм (без строп) с пропиткой,Мир спорта 365,гимнастические кольца,5,7,4.9,4800.0,1794.0
1080186756,Кольца спортивные гимнастические,,гимнастические кольца,5,69,5.0,50.0,50.0
421890405,Кольца гимнастические деревянные,Sportlim,гимнастические кольца,5,3,4.8,2848.0,1703.0
154041343,Кольца гимнастические детские для турника и шведской стенки,,гимнастические кольца,5,105,4.9,1720.0,910.0
1099768281,Стропы с карабинами для гимнастических колец,,гимнастические кольца,5,175,4.8,2500.0,1246.0
5207684,Кольца гимнастические спортивные,ORIGINAL FITTOOLS,гимнастические кольца,5,27,4.9,15180.0,4462.0
410058467,Металлическое кольцо для гимнастики D=90 см черный,,гимнастические кольца,5,41,4.9,10000.0,5703.0
401704767,Гимнастические кольца взрослые на турник,шведская стенка,гимнастические кольца,5,32,4.7,2500.0,1774.0
200365236,Кольцо для пилатеса и фитнеса изотоническое,Sportex,гимнастические кольца,5,288,4.8,1672.0,731.0
26723579,Кольцо гимнастическое для пилатес и фитнеса,YOGATEKA,гимнастические кольца,5,271,4.8,1155.0,697.0
103279617,Гимнастические кольца,ТАМБОВТУРНИК,гимнастические кольца,5,6,4.8,5500.0,2960.0
844443466,Кольцо для воздушной гимнастики. Цвет черный. Диаметр 75 см,Стальной король,гимнастические кольца,5,1,4.9,9000.0,4762.0
539586157,"Комплект спортивных снарядов кольца, трапеция, лестница",,гимнастические кольца,5,35,4.9,5800.0,2185.0
100136655,Кольца гимнастические со стропами,,гимнастические кольца,5,6,4.8,7300.0,2182.0
